record_id,record_type,call_state,date,start_time,end_time,call_id,caller_uri,caller_number,caller_ip,caller_port,callee_uri,callee_number,callee_ip,callee_port,duration,setup_time,status_code,status_text,termination_reason,invite_time,ringing_time,answer_time,bye_time,user_agent,contact,expires,message_body,server_ip,server_port,cseq,extra_info
20251027210521000002,REGISTER,SUCCESS,2025-10-27,21:05:21,21:05:21,RrNxIqWEQwPDnP35dLyb3A..,sip:1001@192.168.8.126,1001,192.168.8.129,57446,,,,,,,200,OK,,,,,,Zoiper v2.10.20.4_1,sip:1001@192.168.8.129:57446;rinstance=0db27be251187c82;transport=UDP,60,,192.168.8.126,5060,28 REGISTER,
20251027210552000003,REGISTER,SUCCESS,2025-10-27,21:05:52,21:05:52,uMhGqfGpl55L93FOPhioVA..,sip:1002@192.168.8.126,1002,192.168.8.120,41303,,,,,,,200,OK,,,,,,Zoiper v2.10.20.11,sip:1002@192.168.8.120:41303;rinstance=dd173711940cdcec;transport=UDP,60,,192.168.8.126,5060,11 REGISTER,
20251027210830000014,CALL,ENDED,2025-10-27,21:08:30,21:08:45,w6ZOgLh4DREp8LtnEGEI5Q..,"""Dragon1001""<sip:1001@192.168.8.126;transport=UDP>;tag=f93c3724",1001,192.168.8.129,57446,<sip:1002@192.168.8.126>,1002,192.168.8.120,41303,14.54,,,,Normal,21:08:30.649,,,21:08:45.187,Zoiper v2.10.20.4_1,,,,192.168.8.126,5060,2 BYE,
20251027210902000018,CALL,CANCELLED,2025-10-27,21:09:02,21:09:04,SUX-kIe67LMw40hw766PHQ..,"""Dragon1001""<sip:1001@192.168.8.126;transport=UDP>;tag=c7f32208",1001,192.168.8.129,57446,<sip:1002@192.168.8.126>,1002,192.168.8.120,41303,,,,,User Cancelled,21:09:02.393,,,,Zoiper v2.10.20.4_1,,,,192.168.8.126,5060,1 CANCEL,
20251027210908000020,CALL,FAILED,2025-10-27,21:09:08,21:09:11,JURh_KoQBj-PqRppgSgvGg..,"""Dragon1001""<sip:1001@192.168.8.126;transport=UDP>;tag=75f0e457",1001,192.168.8.129,57446,<sip:1002@192.168.8.126>,1002,192.168.8.120,41303,,,486,Busy Here,486 Busy Here,21:09:08.946,,,,Zoiper v2.10.20.4_1,,,,192.168.8.126,5060,1 INVITE,
20251027211051000027,MESSAGE,COMPLETED,2025-10-27,21:10:51,21:10:51,-ERJ13HhUYJk6gF2PeJ4Eg..-2 MESSAGE,"""Dragon1001""<sip:1001@192.168.8.126;transport=UDP>;tag=0c0dca29",1001,192.168.8.129,57446,<sip:1002@192.168.8.126;transport=UDP>,1002,,,,,200,OK,,,,,,Zoiper v2.10.20.4_1,,,摸摸你,192.168.8.126,5060,2 MESSAGE,
20251027211059000028,MESSAGE,COMPLETED,2025-10-27,21:10:59,21:10:59,Boq0_VpCO6G65jK4LIH41w..-3 MESSAGE,<sip:1002@192.168.8.126;transport=UDP>;tag=4b66a933,1002,192.168.8.120,41303,<sip:1001@192.168.8.126;transport=UDP>,1001,,,,,200,OK,,,,,,Zoiper v2.10.20.11,,,Jjjj ,192.168.8.126,5060,3 MESSAGE,
20251027211250000036,REGISTER,SUCCESS,2025-10-27,21:12:50,21:12:50,bhz8SBz__1kF0ANOyAivJw..,sip:1002@192.168.8.126,1002,192.168.8.120,41303,,,,,,,200,OK,,,,,,Zoiper v2.10.20.11,sip:1002@192.168.8.120:41303;rinstance=24bdd3cf6d98cf01;transport=UDP,60,,192.168.8.126,5060,2 REGISTER,
20251027211355000040,CALL,ENDED,2025-10-27,21:13:55,21:14:35,LVr48isOk5SGeKyv3voIIA..,<sip:1002@192.168.8.126;transport=UDP>;tag=0906661c,1002,192.168.8.120,41303,<sip:1001@192.168.8.126>,1001,192.168.8.129,57446,39.61,,,,Normal,21:13:55.465,,,21:14:35.072,Zoiper v2.10.20.11,,,,192.168.8.126,5060,2 BYE,
20251027211833000054,REGISTER,SUCCESS,2025-10-27,21:18:33,21:18:33,rN5f3ProaSugBJajsB6fQA..,sip:1003@192.168.8.126,1003,192.168.8.129,57446,,,,,,,200,OK,,,,,,Zoiper v2.10.20.4_1,sip:1003@192.168.8.129:57446;rinstance=8b27a72232b29458;transport=UDP,60,,192.168.8.126,5060,2 REGISTER,
20251027211833000055,REGISTER,SUCCESS,2025-10-27,21:18:33,21:18:33,TMtRw0ae640xRHeTQWa_Uw..,sip:1001@192.168.8.126,1001,192.168.8.129,57446,,,,,,,200,OK,,,,,,Zoiper v2.10.20.4_1,sip:1001@192.168.8.129:57446;rinstance=fae0002b51dbadbe;transport=UDP,60,,192.168.8.126,5060,2 REGISTER,
20251027211845000056,CALL,CANCELLED,2025-10-27,21:18:45,21:19:01,5iGtpgNlOQakUko0q9BN3w..,"""Dragon1001""<sip:1001@192.168.8.126;transport=UDP>;tag=c490c87a",1001,192.168.8.129,57446,<sip:1002@192.168.8.126>,1002,192.168.8.120,41303,,,,,User Cancelled,21:18:45.637,,,,Zoiper v2.10.20.4_1,,,,192.168.8.126,5060,1 CANCEL,
20251027212457000001,REGISTER,SUCCESS,2025-10-27,21:24:57,21:24:57,sSmVI9x3udQbb7sAi_UYDg..,sip:1003@192.168.8.126,1003,192.168.8.129,57446,,,,,,,200,OK,,,,,,Zoiper v2.10.20.4_1,sip:1003@192.168.8.129:57446;rinstance=9d61f03ad47fe373;transport=UDP,60,,192.168.8.126,5060,2 REGISTER,
20251027212457000002,REGISTER,SUCCESS,2025-10-27,21:24:57,21:24:57,HNOi32eCiZO0FTDzablwsg..,sip:1001@192.168.8.126,1001,192.168.8.129,57446,,,,,,,200,OK,,,,,,Zoiper v2.10.20.4_1,sip:1001@192.168.8.129:57446;rinstance=8d0a24660b41b343;transport=UDP,60,,192.168.8.126,5060,2 REGISTER,
20251027212529000003,REGISTER,SUCCESS,2025-10-27,21:25:29,21:25:29,bhz8SBz__1kF0ANOyAivJw..,sip:1002@192.168.8.126,1002,192.168.8.120,41303,,,,,,,200,OK,,,,,,Zoiper v2.10.20.11,sip:1002@192.168.8.120:41303;rinstance=24bdd3cf6d98cf01;transport=UDP,60,,192.168.8.126,5060,17 REGISTER,
20251027212716000009,CALL,ENDED,2025-10-27,21:27:16,21:27:40,jHEgpwcHY61Fd7Hztt4B3A..,"""Dragon1001""<sip:1001@192.168.8.126;transport=UDP>;tag=cd902f67",1001,192.168.8.129,57446,<sip:1002@192.168.8.126>,1002,192.168.8.120,41303,23.36,,,,Normal,21:27:16.709,,,21:27:40.067,Zoiper v2.10.20.4_1,,,,192.168.8.126,5060,2 BYE,
20251027213124000001,REGISTER,SUCCESS,2025-10-27,21:31:24,21:31:24,qhsA5vWWTaqqgwBHLnqmLw..,sip:1003@192.168.8.126,1003,192.168.8.129,57446,,,,,,,200,OK,,,,,,Zoiper v2.10.20.4_1,sip:1003@192.168.8.129:57446;rinstance=7bd27683e2bbf06a;transport=UDP,60,,192.168.8.126,5060,2 REGISTER,
20251027213124000002,REGISTER,SUCCESS,2025-10-27,21:31:24,21:31:24,6LQMhjxViCSi7VOjrgQQwg..,sip:1001@192.168.8.126,1001,192.168.8.129,57446,,,,,,,200,OK,,,,,,Zoiper v2.10.20.4_1,sip:1001@192.168.8.129:57446;rinstance=795c33277c292b68;transport=UDP,60,,192.168.8.126,5060,2 REGISTER,
20251027213148000003,REGISTER,SUCCESS,2025-10-27,21:31:48,21:31:48,bhz8SBz__1kF0ANOyAivJw..,sip:1002@192.168.8.126,1002,192.168.8.120,41303,,,,,,,200,OK,,,,,,Zoiper v2.10.20.11,sip:1002@192.168.8.120:41303;rinstance=24bdd3cf6d98cf01;transport=UDP,60,,192.168.8.126,5060,25 REGISTER,
20251027213619000018,CALL,ENDED,2025-10-27,21:36:19,21:36:22,Jj13kxdJU2Hf7dBT0g4WCA..,"""Dragon1001""<sip:1001@192.168.8.126;transport=UDP>;tag=7549663b",1001,192.168.8.129,57446,<sip:1002@192.168.8.126>,1002,192.168.8.120,41303,3.39,,,,Normal,21:36:19.284,,,21:36:22.677,Zoiper v2.10.20.4_1,,,,192.168.8.126,5060,2 BYE,
20251027214119000001,REGISTER,SUCCESS,2025-10-27,21:41:19,21:41:19,6LQMhjxViCSi7VOjrgQQwg..,sip:1001@192.168.8.126,1001,192.168.8.129,57446,,,,,,,200,OK,,,,,,Zoiper v2.10.20.4_1,sip:1001@192.168.8.129:57446;rinstance=795c33277c292b68;transport=UDP,60,,192.168.8.126,5060,14 REGISTER,
20251027214119000002,REGISTER,SUCCESS,2025-10-27,21:41:19,21:41:19,qhsA5vWWTaqqgwBHLnqmLw..,sip:1003@192.168.8.126,1003,192.168.8.129,57446,,,,,,,200,OK,,,,,,Zoiper v2.10.20.4_1,sip:1003@192.168.8.129:57446;rinstance=7bd27683e2bbf06a;transport=UDP,60,,192.168.8.126,5060,14 REGISTER,
20251027214144000003,REGISTER,SUCCESS,2025-10-27,21:41:44,21:41:44,bhz8SBz__1kF0ANOyAivJw..,sip:1002@192.168.8.126,1002,192.168.8.120,41303,,,,,,,200,OK,,,,,,Zoiper v2.10.20.11,sip:1002@192.168.8.120:41303;rinstance=24bdd3cf6d98cf01;transport=UDP,60,,192.168.8.126,5060,37 REGISTER,
20251027214427000001,REGISTER,SUCCESS,2025-10-27,21:44:27,21:44:27,bhz8SBz__1kF0ANOyAivJw..,sip:1002@192.168.8.126,1002,192.168.8.120,41303,,,,,,,200,OK,,,,,,Zoiper v2.10.20.11,sip:1002@192.168.8.120:41303;rinstance=24bdd3cf6d98cf01;transport=UDP,60,,192.168.8.126,5060,41 REGISTER,
20251027214456000002,REGISTER,SUCCESS,2025-10-27,21:44:56,21:44:56,6LQMhjxViCSi7VOjrgQQwg..,sip:1001@192.168.8.126,1001,192.168.8.129,57446,,,,,,,200,OK,,,,,,Zoiper v2.10.20.4_1,sip:1001@192.168.8.129:57446;rinstance=795c33277c292b68;transport=UDP,60,,192.168.8.126,5060,19 REGISTER,
20251027214456000003,REGISTER,SUCCESS,2025-10-27,21:44:56,21:44:56,qhsA5vWWTaqqgwBHLnqmLw..,sip:1003@192.168.8.126,1003,192.168.8.129,57446,,,,,,,200,OK,,,,,,Zoiper v2.10.20.4_1,sip:1003@192.168.8.129:57446;rinstance=7bd27683e2bbf06a;transport=UDP,60,,192.168.8.126,5060,19 REGISTER,
20251027214543000005,CALL,ENDED,2025-10-27,21:45:43,21:45:50,UQ9YcDh8zR07emDK6b490A..,"""Dragon1001""<sip:1001@192.168.8.126;transport=UDP>;tag=67772344",1001,192.168.8.129,57446,<sip:1002@192.168.8.126>,1002,192.168.8.120,41303,6.74,,,,Normal,21:45:43.637,,,21:45:50.381,Zoiper v2.10.20.4_1,,,,192.168.8.126,5060,2 BYE,
20251027214554000008,CALL,ENDED,2025-10-27,21:45:54,21:46:02,JrVBFKlVTC7_CFCijQDTFg..,<sip:1002@192.168.8.126;transport=UDP>;tag=9915f468,1002,192.168.8.120,41303,<sip:1003@192.168.8.126>,1003,192.168.8.129,57446,7.44,,,,Normal,21:45:54.613,,,21:46:02.057,Zoiper v2.10.20.11,,,,192.168.8.126,5060,2 BYE,
20251027214605000009,CALL,CANCELLED,2025-10-27,21:46:05,21:46:07,AiP9nwXqfLXHoefqo3EILw..,"""Dragon1001""<sip:1001@192.168.8.126;transport=UDP>;tag=cd99963f",1001,192.168.8.129,57446,<sip:1002@192.168.8.126>,1002,192.168.8.120,41303,,,,,User Cancelled,21:46:05.152,,,,Zoiper v2.10.20.4_1,,,,192.168.8.126,5060,1 CANCEL,
20251027214610000011,CALL,FAILED,2025-10-27,21:46:10,21:46:13,Y-xYQJXIQv4gbUYDo_nrqg..,"""Dragon1001""<sip:1001@192.168.8.126;transport=UDP>;tag=74e3414f",1001,192.168.8.129,57446,<sip:1002@192.168.8.126>,1002,192.168.8.120,41303,,,486,Busy Here,486 Busy Here,21:46:10.558,,,,Zoiper v2.10.20.4_1,,,,192.168.8.126,5060,1 INVITE,
20251027214617000013,CALL,ENDED,2025-10-27,21:46:17,21:46:23,nBMuuw8CyIB5vQE79aWNGA..,"""Dragon1001""<sip:1001@192.168.8.126;transport=UDP>;tag=ff768879",1001,192.168.8.129,57446,<sip:1002@192.168.8.126>,1002,192.168.8.120,41303,6.59,,,,Normal,21:46:17.236,,,21:46:23.822,Zoiper v2.10.20.4_1,,,,192.168.8.126,5060,2 BYE,
20251027214626000014,CALL,ENDED,2025-10-27,21:46:26,21:46:30,ioKkysSoZfV-XFKqjocssA..,"""Dragon1001""<sip:1001@192.168.8.126;transport=UDP>;tag=e2a5e65c",1001,192.168.8.129,57446,<sip:1002@192.168.8.126>,1002,192.168.8.120,41303,4.01,,,,Normal,21:46:26.734,,,21:46:30.740,Zoiper v2.10.20.4_1,,,,192.168.8.126,5060,2 BYE,
20251027214638000015,MESSAGE,COMPLETED,2025-10-27,21:46:38,21:46:38,NoMduclUzZH3VuQTcD6Nfw..-2 MESSAGE,"""Dragon1001""<sip:1001@192.168.8.126;transport=UDP>;tag=a36c2f3c",1001,192.168.8.129,57446,<sip:1002@192.168.8.126;transport=UDP>,1002,,,,,200,OK,,,,,,Zoiper v2.10.20.4_1,,,哈哈哈,192.168.8.126,5060,2 MESSAGE,
